,jediLabel,actorLabel,filmLabel,scoreLabel
0,Aayla Secura,Amy Allen,Star Wars: Episode III – Revenge of the Sith,76.0
1,Anakin Skywalker,Hayden Christensen,Star Wars: Episode II – Attack of the Clones,65.5
2,Anakin Skywalker,Hayden Christensen,Star Wars: Episode III – Revenge of the Sith,76.0
3,Anakin Skywalker,Hayden Christensen,Star Wars: Episode VI – Return of the Jedi,77.5
4,Anakin Skywalker,Jake Lloyd,Star Wars: Episode I – The Phantom Menace,55.0
5,Anakin Skywalker,Sebastian Shaw,Star Wars: Episode VI – Return of the Jedi,77.5
6,Count Dooku,Christopher Lee,Star Wars: Episode II – Attack of the Clones,65.5
7,Count Dooku,Christopher Lee,Star Wars: Episode III – Revenge of the Sith,76.0
8,Darth Vader,David Prowse,Star Wars: Episode IV – A New Hope,88.00000000000001
9,Darth Vader,David Prowse,Star Wars: Episode V – The Empire Strikes Back,91.5
10,Darth Vader,David Prowse,Star Wars: Episode VI – Return of the Jedi,77.5
11,Darth Vader,Hayden Christensen,Star Wars: Episode II – Attack of the Clones,65.5
12,Darth Vader,Hayden Christensen,Star Wars: Episode III – Revenge of the Sith,76.0
13,Darth Vader,Hayden Christensen,Star Wars: Episode VI – Return of the Jedi,77.5
14,Darth Vader,James Earl Jones,Star Wars: Episode III – Revenge of the Sith,76.0
15,Darth Vader,James Earl Jones,Star Wars: Episode IV – A New Hope,88.00000000000001
16,Jocasta Nu,Alethea McGrath,Star Wars: Episode II – Attack of the Clones,65.5
17,Ki-Adi-Mundi,Silas Carson,Star Wars: Episode I – The Phantom Menace,55.0
18,Ki-Adi-Mundi,Silas Carson,Star Wars: Episode II – Attack of the Clones,65.5
19,Ki-Adi-Mundi,Silas Carson,Star Wars: Episode III – Revenge of the Sith,76.0
20,Luke Skywalker,Mark Hamill,Star Wars Episode IX: The Rise of Skywalker,56.5
21,Luke Skywalker,Mark Hamill,Star Wars Episode VII: The Force Awakens,88.0
22,Luke Skywalker,Mark Hamill,Star Wars: Episode IV – A New Hope,88.00000000000001
23,Luke Skywalker,Mark Hamill,Star Wars: Episode V – The Empire Strikes Back,91.5
24,Luke Skywalker,Mark Hamill,Star Wars: Episode VI – Return of the Jedi,77.5
25,Luke Skywalker,Mark Hamill,Star Wars: Episode VIII – The Last Jedi,82.5
26,Mace Windu,Samuel L. Jackson,Star Wars: Episode I – The Phantom Menace,55.0
27,Mace Windu,Samuel L. Jackson,Star Wars: Episode II – Attack of the Clones,65.5
28,Mace Windu,Samuel L. Jackson,Star Wars: Episode III – Revenge of the Sith,76.0
29,Obi-Wan Kenobi,Alec Guinness,Star Wars Episode VII: The Force Awakens,88.0
30,Obi-Wan Kenobi,Alec Guinness,Star Wars: Episode IV – A New Hope,88.00000000000001
31,Obi-Wan Kenobi,Alec Guinness,Star Wars: Episode V – The Empire Strikes Back,91.5
32,Obi-Wan Kenobi,Alec Guinness,Star Wars: Episode VI – Return of the Jedi,77.5
33,Obi-Wan Kenobi,Ewan McGregor,Star Wars Episode VII: The Force Awakens,88.0
34,Obi-Wan Kenobi,Ewan McGregor,Star Wars: Episode I – The Phantom Menace,55.0
35,Obi-Wan Kenobi,Ewan McGregor,Star Wars: Episode II – Attack of the Clones,65.5
36,Obi-Wan Kenobi,Ewan McGregor,Star Wars: Episode III – Revenge of the Sith,76.0
37,Qui-Gon Jinn,Liam Neeson,Star Wars: Episode I – The Phantom Menace,55.0
38,Qui-Gon Jinn,Liam Neeson,Star Wars: Episode II – Attack of the Clones,65.5
39,Rey,Daisy Ridley,Star Wars Episode IX: The Rise of Skywalker,56.5
40,Rey,Daisy Ridley,Star Wars Episode VII: The Force Awakens,88.0
41,Rey,Daisy Ridley,Star Wars: Episode VIII – The Last Jedi,82.5
42,Yoda,Frank Oz,Star Wars Episode VII: The Force Awakens,88.0
43,Yoda,Frank Oz,Star Wars: Episode I – The Phantom Menace,55.0
44,Yoda,Frank Oz,Star Wars: Episode II – Attack of the Clones,65.5
45,Yoda,Frank Oz,Star Wars: Episode III – Revenge of the Sith,76.0
46,Yoda,Frank Oz,Star Wars: Episode V – The Empire Strikes Back,91.5
47,Yoda,Frank Oz,Star Wars: Episode VI – Return of the Jedi,77.5
48,Yoda,Frank Oz,Star Wars: Episode VIII – The Last Jedi,82.5
49,Yoda,Tom Kane,Star Wars: Episode VIII – The Last Jedi,82.5
